epoch,loss,accuracy,precision,recall,f1
0,0.0018464601441715,0.7947565543071161,0.2714542116792804,0.3072478895420168,0.2876689222320291
1,0.0014174815197562,0.8277153558052435,0.4831060457562096,0.3210611381330494,0.3052288049923984
2,0.0009526554341619,0.8726591760299626,0.4526112736862383,0.4826759466247463,0.4569831568148365
3,0.0006067638205231,0.8936329588014982,0.6646982613066484,0.5373745622979266,0.4958435202819062
4,0.0001650588621807,0.907865168539326,0.723733034343218,0.5686255103463805,0.5588035157391833
5,0.0001391385462176,0.9228464419475656,0.6693875579865487,0.5881178986919798,0.596067556157425
6,5.385434527075693e-05,0.9632958801498128,0.9488357828948112,0.8397245472760497,0.8770291766947285
7,4.226019892018386e-05,0.9685393258426966,0.9614775800851748,0.782068317241915,0.8031638824502476
8,3.1602899247452564e-05,0.9857677902621724,0.9869096384826904,0.9040618138659672,0.9366926323125564
9,4.576607031768627e-05,0.9917602996254682,0.9634985253864574,0.961002061810445,0.9621599756349763
10,1.878971757178896e-05,0.9932584269662922,0.9687330623306232,0.958529941830222,0.9635728249881008
11,1.7526762713486337e-05,0.9932584269662922,0.969092198601501,0.9599656026187368,0.9644125585788034
12,1.648888462798649e-05,0.994007490636704,0.975659008909506,0.9842477722244796,0.979166727018906
13,1.5546109576182864e-05,0.994007490636704,0.9749468994562016,0.9849656026187368,0.9791743881764744
14,1.5155869720971094e-05,0.9940074906367041,0.9749468994562017,0.9849656026187368,0.9791743881764743
