,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.7769607843137255,0.7456305254894584,0.8082910431379926
1,その他,test/precision,0.9732142857142858,0.9399188767532104,1.0065096946753613
2,その他,test/recall,0.65,0.6084228852695097,0.6915771147304903
3,その他,test/f1,0.7769607843137255,0.7456305254894584,0.8082910431379926
4,時間,test/acc,0.540952380952381,0.4562496308199792,0.6256551310847827
5,時間,test/precision,0.4383333333333333,0.36826481124797733,0.5084018554186893
6,時間,test/recall,0.75,0.5950512419238596,0.9049487580761404
7,時間,test/f1,0.540952380952381,0.4562496308199792,0.6256551310847827
8,逆接・譲歩,test/acc,0.671814009469462,0.6417344560125133,0.7018935629264107
9,逆接・譲歩,test/precision,0.810214576498552,0.7942146169189757,0.8262145360781283
10,逆接・譲歩,test/recall,0.578048780487805,0.5331791814620169,0.622918379513593
11,逆接・譲歩,test/f1,0.671814009469462,0.6417344560125133,0.7018935629264107
12,場所,test/acc,0.7392857142857142,0.6818043094462078,0.7967671191252206
13,場所,test/precision,0.7716666666666667,0.6722576488854028,0.8710756844479306
14,場所,test/recall,0.725,0.6785153725771579,0.7714846274228421
15,場所,test/f1,0.7392857142857142,0.6818043094462078,0.7967671191252206
16,同時進行,test/acc,0.911818139138519,0.9066096873701728,0.9170265909068651
17,同時進行,test/precision,0.8625080840659802,0.8506494495347651,0.8743667185971954
18,同時進行,test/recall,0.9675675675675677,0.9613497789313075,0.9737853562038279
19,同時進行,test/f1,0.911818139138519,0.9066096873701728,0.9170265909068651
