experiment_type,mean,bottom,up
normal,0.745366,0.71406098,0.77667027
convert_all_words_to_dummy,0.239007,0.21754554,0.260469
exclude_content_words,0.493037,0.43566936,0.55040495
exclude_ha_and_ga,0.750964,0.7233595,0.77856755
ordinal_forms_shuffle,0.476054,0.41347509,0.53863369
exclude_function_words,0.471771,0.41504103,0.52850034
exclude_particle,0.61446,0.57742984,0.65149078
exclude_iru_aru_oku,0.779762,0.75502238,0.80450203
exclude_mo,0.724571,0.68881008,0.76033129
convert_content_words_to_dummy,0.517739,0.45518312,0.58029428
convert_function_words_to_dummy,0.555936,0.50634496,0.60552627
latter-only,0.682717,,
exclude_koso,0.787645,0.76682924,0.80846022
former-only,0.759665,,
exclude_connectives,0.539701,,
convert_connectives_to_dummy,0.728166,0.69879132,0.75754109
exclude_negation,0.80624,,
